title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label,underperformance_category,key_insights,genre_pattern,marketing_assessment
Andrei Rublev,1966,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,andrei-rublev,https://letterboxd.com/film/andrei-rublev/,124189,0,8.0,"Biography, Drama, History",Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",4 wins & 1 nomination total,189 min,Soviet Union,"Russian, Italian, Tatar",True,0.12,0.0,,-3.7,1960,1960s,Niche Appeal,"Andrei Tarkovsky's *Andrei Rublev* is a profound meditation on art, faith, and humanity, celebrated for its poetic cinematography and philosophical depth. Its commercial obscurity stems from its challenging, slow-paced narrative and historical context, yet it remains a landmark of world cinema for its spiritual resonance and visual mastery.",Prestige Picture,"The primary marketing challenge is its lengthy, meditative runtime and complex historical narrative, which limit broad appeal and require targeting a niche audience of art-house and cinephile viewers."
Apocalypse Now,1979,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,apocalypse-now,https://letterboxd.com/film/apocalypse-now/,96074376,0,8.4,"Drama, Mystery, War",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Won 2 Oscars. 21 wins & 33 nominations total,147 min,United States,"English, French, Vietnamese",False,96.07,0.0,,-4.1,1970,1970s,N/A - Performed Well,Successful box office performance,N/A,N/A
Grave of the Fireflies,1988,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,grave-of-the-fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,516962,0,8.5,"Animation, Drama, War",Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",A young boy and his little sister struggle to survive in Japan during World War II.,3 wins total,88 min,Japan,Japanese,True,0.52,0.0,,-4.2,1980,1980s,Niche Appeal,"Grave of the Fireflies is a profoundly moving anti-war film that masterfully uses the medium of animation to convey raw human tragedy, a rarity in its genre. Its unflinching emotional depth and poignant storytelling have earned it a revered status as a cinematic masterpiece over time, despite its initial commercial challenges. The film’s lasting cultural impact lies in its powerful, universal message about the innocent victims of conflict.",Prestige Picture,"The primary marketing challenge is overcoming the language and cultural barriers to effectively position this emotionally devastating, anti-war animated film for international audiences beyond its Japanese origins."
The Dark Knight,2008,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-dark-knight,https://letterboxd.com/film/the-dark-knight/,534987076,0,9.1,"Action, Crime, Drama",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Won 2 Oscars. 163 wins & 165 nominations total,152 min,"United States, United Kingdom","English, Mandarin",False,534.99,0.0,,-4.8,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
GoodFellas,1990,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,goodfellas,https://letterboxd.com/film/goodfellas/,46909721,0,8.7,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Won 1 Oscar. 44 wins & 38 nominations total,145 min,United States,"English, Italian, Hebrew, Yiddish",False,46.91,0.0,,-4.4,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
There Will Be Blood,2007,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,there-will-be-blood,https://letterboxd.com/film/there-will-be-blood/,40222514,0,8.2,Drama,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Won 2 Oscars. 114 wins & 138 nominations total,158 min,United States,"English, American Sign ",False,40.22,0.0,,-3.9,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
Spirited Away,2001,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,spirited-away,https://letterboxd.com/film/spirited-away/,15205725,0,8.6,"Animation, Adventure, Family",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Won 1 Oscar. 58 wins & 31 nominations total,124 min,"Japan, United States","Japanese, English",True,15.21,0.0,,-4.3,2000,2000s,Limited Release,"Despite its initial modest box office outside Japan, ""Spirited Away"" is celebrated for its breathtaking artistry and profound cultural depth, blending universal themes of identity and resilience with uniquely Japanese folklore. Its Oscar win and enduring acclaim highlight how its imaginative storytelling and visual splendor transcended commercial metrics to become a timeless masterpiece.",Mainstream Friendly,"The primary marketing challenge is overcoming the language and cultural barrier for Western audiences, as it's a Japanese animated film with a complex, non-Western narrative and limited star power in its English dub cast."
The Cranes Are Flying,1957,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-cranes-are-flying,https://letterboxd.com/film/the-cranes-are-flying/,17923,0,8.3,"Drama, Romance, War",Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev","Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.",Nominated for 2 BAFTA 4 wins & 3 nominations total,95 min,Soviet Union,Russian,True,0.02,0.0,,-4.0,1950,1950s,Limited Release,"Despite its commercial obscurity, *The Cranes Are Flying* is celebrated for its groundbreaking cinematography and emotionally raw portrayal of love and loss during wartime. Its innovative handheld camera work and deeply humanistic narrative broke from Soviet-era conventions, earning it critical acclaim and a Palme d'Or, cementing its legacy as a masterpiece of poetic realism.",Prestige Picture,"The primary marketing challenge is the language barrier and cultural unfamiliarity, as a Soviet-era Russian-language film would face significant hurdles in engaging Western audiences without established star power or accessible themes."
The Apartment,1960,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-apartment,https://letterboxd.com/film/the-apartment/,18600000,0,8.3,"Comedy, Drama, Romance",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Won 5 Oscars. 25 wins & 8 nominations total,125 min,United States,English,False,18.6,0.0,,-4.0,1960,1960s,N/A - Performed Well,Successful box office performance,N/A,N/A
Incendies,2010,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,incendies,https://letterboxd.com/film/incendies/,2071334,0,8.3,"Drama, Mystery, War",Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Nominated for 1 Oscar. 41 wins & 20 nominations total,131 min,"Canada, France","French, Arabic, English",True,2.07,0.0,,-4.0,2010,2010s,Niche Appeal,"Incendies is a profound exploration of generational trauma and identity, masterfully weaving a complex narrative that challenges viewers emotionally and intellectually. Its raw, unflinching portrayal of war's human cost and its poetic yet brutal storytelling elevate it beyond typical cinema, resonating deeply with critics and cinephiles. Despite its limited commercial reach, the film's powerful themes and Denis Villeneuve's masterful direction have cemented its status as a modern classic in world cinema.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and subtitled format for mainstream audiences, compounded by the lack of recognizable star power to draw broader viewership."
